地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
世界名园D区,2室2厅,97.08,南 北,简装,中楼层(共9层),2016年,125.0,12876,8, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125993607.html
宣武门西大街南区,2室1厅,50.65,南,精装,底层(共12层),板楼,466.0,92004,31, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125532752.html
东滨河路2号院,2室1厅,83.24,南 北,简装,低楼层(共16层),1997年,485.0,58266,15, 21天以前发布,https://bj.lianjia.com/ershoufang/101124233542.html
荣丰2008,1室1厅,35.45,北,精装,低楼层(共10层),2005年,365.0,102962,24, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125851567.html
如意园,2室1厅,68.85,南 北,毛坯,中楼层(共6层),板楼,265.0,38490,6, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125379441.html
白家庄北里,2室1厅,57.6,东,简装,低楼层(共13层),1984年,480.0,83334,8, 3个月以前发布,https://bj.lianjia.com/ershoufang/101122268926.html
龙禧苑一区,2室1厅,94.18,南 北,简装,中楼层(共6层),板楼,399.0,42366,17, 3个月以前发布,https://bj.lianjia.com/ershoufang/101125967313.html
黑山东街,3室1厅,55.91,东 南 北,精装,中楼层(共6层),板楼,150.0,26829,36, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122237051.html
首邑溪谷,3室1厅,59.81,南 北,精装,高楼层(共16层),2012年,327.0,54674,6, 29天以前发布,https://bj.lianjia.com/ershoufang/101123631719.html
10AM新坐标,1室1厅,46.06,南,简装,26层,2005年,229.0,49718,6, 6个月以前发布,https://bj.lianjia.com/ershoufang/101123937401.html
光明西里,2室1厅,58.25,南 北,精装,低楼层(共3层),板楼,536.0,92018,20, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124974891.html
北京城建兴悦居,1室1厅,66.91,东,简装,高楼层(共21层),板楼,208.0,31087,18, 3个月以前发布,https://bj.lianjia.com/ershoufang/101123015669.html
当代采育满庭春MOMA,2室1厅,90.23,南 北,简装,中楼层(共18层),2015年,129.0,14297,11, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124102375.html
西便门内大街79号院,2室1厅,52.59,东南,精装,底层(共4层),板楼,466.0,88611,10, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122254163.html
铭科苑,2室1厅,66.3,东 西,精装,6层,板楼,385.0,58070,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101123221922.html
八宝山南路29号院,1室1厅,59.08,南 北,精装,中楼层(共6层),1998年,215.0,36392,1, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125438389.html
地震局宿舍,1室1厅,46.66,南,简装,高楼层(共6层),1994年,179.0,38363,45, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121784853.html
知春路82号院,3室1厅,70.1,西南,简装,中楼层(共18层),2002年,880.0,125535,16, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125110685.html
石佛营西里小区,2室1厅,75.8,南 北,简装,15层,板楼,345.0,45515,19, 6天以前发布,https://bj.lianjia.com/ershoufang/101123371950.html
芳群园二区,2室1厅,58.65,南 北,简装,顶层(共5层),板楼,310.0,52856,11, 9个月以前发布,https://bj.lianjia.com/ershoufang/101122338120.html
北京邮电大学家属院,2室1厅,50.1,南,精装,5层,板楼,369.0,73653,54, 5个月以前发布,https://bj.lianjia.com/ershoufang/101126218217.html
恒大名都,1室1厅,60.25,西,简装,中楼层(共29层),2017年,307.0,50955,10, 2个月以前发布,https://bj.lianjia.com/ershoufang/101126060189.html
山水蓝维,3室2厅,152.85,南 西 北,精装,中楼层(共6层),板楼,1030.0,67387,39, 3个月以前发布,https://bj.lianjia.com/ershoufang/101126105884.html
花家地西里二区,3室1厅,98.22,南 北,精装,6层,板楼,588.0,59866,19, 5个月以前发布,https://bj.lianjia.com/ershoufang/101123782440.html
新居里,2室1厅,68.1,南 北,简装,底层(共6层),板楼,186.0,27313,10, 24天以前发布,https://bj.lianjia.com/ershoufang/101125967313.html
北大地四里,2室1厅,52.0,南 北,简装,中楼层(共5层),板楼,228.0,43847,51, 8个月以前发布,https://bj.lianjia.com/ershoufang/101122237051.html
大有北里,4室2厅,125.8,南 北,精装,顶层(共6层),板楼,1450.0,115263,21, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124575880.html
鲁能7号院溪园,2室1厅,85.91,南,精装,低楼层(共14层),板楼,229.0,26656,6, 8天以前发布,https://bj.lianjia.com/ershoufang/101126037800.html
颐源居小区,1室1厅,49.66,西南,精装,高楼层(共28层),1999年,486.0,97866,10, 23天以前发布,https://bj.lianjia.com/ershoufang/101125966897.html
静源居,2室1厅,107.14,西,精装,低楼层(共23层),2002年,950.0,88670,10, 1个月以前发布,https://bj.lianjia.com/ershoufang/101123554692.html
海华堂,2室1厅,87.55,西南 东北,简装,高楼层(共33层),塔楼,480.0,54826,21, 5个月以前发布,https://bj.lianjia.com/ershoufang/101121784853.html
金隅丽景园,2室1厅,68.96,东,简装,28层,2009年,220.0,31903,25, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124118850.html
芳群园二区,2室1厅,58.65,南 北,简装,顶层(共5层),板楼,310.0,52856,11, 9个月以前发布,https://bj.lianjia.com/ershoufang/101124821099.html
北京邮电大学家属院,2室1厅,50.1,南,精装,5层,板楼,369.0,73653,54, 5个月以前发布,https://bj.lianjia.com/ershoufang/101122757115.html
华威西里,2室1厅,60.3,南 北,简装,低楼层(共6层),1984年,240.0,39801,174, 4个月以前发布,https://bj.lianjia.com/ershoufang/101126090618.html
东辛房,2室1厅,64.22,南 北,简装,顶层(共2层),板楼,128.0,19932,1, 15天以前发布,https://bj.lianjia.com/ershoufang/101126087422.html
新兴家园,2室1厅,90.31,南 北,精装,10层,板楼,215.0,23807,7, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125527774.html
听竹院,1室1厅,55.43,南,简装,中楼层(共7层),2017年,142.0,25618,37, 4个月以前发布,https://bj.lianjia.com/ershoufang/101123008378.html
万科蓝蓝沁家园,2室1厅,73.4,南 北,精装,低楼层(共18层),2014年,475.0,64714,32, 5个月以前发布,https://bj.lianjia.com/ershoufang/101125879517.html
王皮胡同,1室0厅,16.6,南,精装,底层(共1层),平房,230.0,138555,7, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125061976.html
青荷里宸欣园,2室1厅,80.19,南,毛坯,低楼层(共29层),2021年,263.0,32798,8, 16天以前发布,https://bj.lianjia.com/ershoufang/101123881218.html
翰林庭院,2室2厅,110.94,北 南,简装,中楼层(共15层),2008年,430.0,38760,4, 1个月以前发布,https://bj.lianjia.com/ershoufang/101123920607.html
水碓子东路,2室1厅,55.55,南,简装,高楼层(共6层),板楼,269.0,48425,9, 15天以前发布,https://bj.lianjia.com/ershoufang/101125943030.html
芳群园二区,2室1厅,58.65,南 北,简装,顶层(共5层),板楼,310.0,52856,11, 9个月以前发布,https://bj.lianjia.com/ershoufang/101121784853.html
义宾南区,2室1厅,62.47,东 西,精装,高楼层(共6层),1988年,153.0,24492,17, 4个月以前发布,https://bj.lianjia.com/ershoufang/101121079918.html
